Maj-Day,EURGBP,EURAUD,EURNZD,EURCAD,EURUSD,EURJPY,GBPAUD,GBPNZD,GBPCAD,GBPUSD,GBPJPY,AUDUSD,AUDJPY,AUDCAD,NZDUSD,NZDJPY,NZDCAD,USDCAD,CADJPY,USDCHF
30-NOV,-34,24,-12,-18,-32,-4,64,25,20,7,27,-56,-37,-45,-14,5,-5,14,3,46
01-DEC,46,84,47,65,124,117,35,-2,17,74,74,39,41,-18,67,71,19,-57,57,-99
02-DEC,86,-24,34,24,36,48,-100,-43,-54,-40,-33,59,68,46,10,18,-8,-13,22,-58
03-DEC,-45,-8,12,-17,26,-31,27,48,19,63,8,36,-26,-12,12,-45,-32,-43,-10,-46
04-DEC,-8,1,29,-82,-22,12,14,44,-69,-9,24,-22,18,-80,-53,-19,-112,-61,95,14
07-DEC,31,-4,-12,2,-10,-22,-38,-47,-32,-43,-55,-6,-18,5,2,-10,13,11,-24,-13
08-DEC,10,12,-5,11,-5,6,-1,-17,-2,-18,-7,-17,-3,3,-4,7,16,16,-7,-20
09-DEC,-51,-64,9,-19,-19,-13,-8,64,37,37,43,45,50,42,-29,-24,-27,1,9,6
10-DEC,126,-74,-55,-12,50,50,-209,-188,-146,-85,-87,32,125,63,112,114,42,-62,61,-41
11-DEC,34,-22,-3,1,-24,-42,-48,-33,-27,-52,-69,-5,-21,21,-20,-39,7,28,-41,48
14-DEC,-50,26,29,20,25,32,82,86,75,79,81,1,2,-4,-5,-4,-10,-9,2,-35
15-DEC,-93,-24,-2,-43,8,-36,70,92,51,100,65,32,-5,-17,9,-28,-42,-51,15,-16
16-DEC,1,13,2,70,39,18,4,-6,63,35,13,26,3,57,35,14,70,32,-51,-5
17-DEC,4,-4,6,43,56,24,-9,4,39,56,18,62,26,44,54,14,34,-14,-18,-9
18-DEC,36,-11,8,40,-10,12,-39,-26,9,-46,-15,-4,19,50,-17,6,35,50,-30,-14
21-DEC,36,37,41,47,-10,-9,2,9,12,-44,-52,-46,-44,7,-32,-48,8,57,-55,30
22-DEC,9,20,17,-27,-66,-36,12,8,-37,-75,-44,-85,-55,-42,-103,-55,-49,39,-10,42
23-DEC,-81,-54,-57,-30,19,16,24,22,50,99,92,74,65,21,82,76,28,-49,41,-13
24-DEC,-50,-19,-24,15,-1,5,27,32,64,50,58,19,38,43,-3,10,43,16,-7,33
28-DEC,109,38,38,10,25,35,-62,-71,-92,-82,-65,-13,-12,-31,3,10,-32,-15,23,-28
29-DEC,-7,-6,-33,7,29,10,1,-29,14,38,14,34,17,8,76,58,44,-21,8,-54
30-DEC,-55,-61,-42,-15,40,7,-11,10,36,91,56,103,64,54,72,28,28,-54,7,-29
31-DEC,-96,-78,-36,-79,-68,-63,23,64,19,30,42,10,22,-13,-31,-14,-46,-13,37,39
04-JAN,97,64,39,62,30,10,-38,-61,-37,-68,-88,-34,-56,2,-14,-32,24,33,-57,-43
05-JAN,-3,-84,-65,-45,38,-6,-80,-63,-41,41,1,122,86,38,111,69,18,-82,44,-31
