Pair,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
EUR,-57,-57,27,88,-143,79,20,-15,25,-62,-79,129
GBP,13,-52,-32,137,-126,-38,18,-86,36,-13,1,13
AUD,35,21,8,71,-173,30,62,-122,-31,58,-20,-10
NZD,-4,48,-4,32,-192,26,106,-216,-1,25,29,71
JPY,44,12,18,22,-58,128,24,69,13,-38,-180,58
CAD,-47,16,6,107,-87,44,28,-49,23,-49,-52,-8
CHF,29,-48,53,16,-84,134,15,-3,40,-87,-85,209
USD,20,38,10,-92,128,-52,-28,9,-7,60,90,-75
SP500,74,143,95,151,1,16,173,-109,31,103,232,33
GOLD,274,169,-148,122,-115,80,33,240,-17,37,-95,93
