NewsDate,Details,Priority,Country,
01/04/2021 01:45,Caixin Manufacturing PMI,MEDIUM,CNY,
01/04/2021 08:15,Markit Manufacturing PMI,MEDIUM,EUR,
01/04/2021 08:45,Markit Manufacturing PMI,MEDIUM,EUR,
01/04/2021 08:55,Markit Manufacturing PMI,MEDIUM,EUR,
01/04/2021 09:30,Markit Manufacturing PMI,MEDIUM,GBP,
01/04/2021 10:00,OPEC Meeting,MEDIUM,USD,
01/04/2021 14:30,Markit Manufacturing PMI,MEDIUM,CAD,
01/04/2021 14:45,Markit Manufacturing PMI,MEDIUM,USD,
01/05/2021 07:00,Retail Sales (YoY),HIGH,EUR,
01/05/2021 07:00,Retail Sales (MoM),MEDIUM,EUR,
01/05/2021 07:30,Consumer Price Index (YoY),MEDIUM,CHF,
01/05/2021 08:55,Unemployment Rate s.a.,MEDIUM,EUR,
01/05/2021 08:55,Unemployment Change,MEDIUM,EUR,
01/05/2021 15:00,ISM Manufacturing Employment Index,MEDIUM,USD,
01/05/2021 15:00,ISM Manufacturing PMI,HIGH,USD,
01/05/2021 15:00,ISM Manufacturing Prices Paid,MEDIUM,USD,
01/05/2021 15:00,ISM Manufacturing New Orders Index,MEDIUM,USD,
01/05/2021 20:45,Fed's Williams speech,MEDIUM,USD,
01/05/2021 22:00,Commonwealth Bank Services PMI,MEDIUM,AUD,
01/06/2021 01:45,Caixin Services PMI,MEDIUM,CNY,
01/06/2021 08:15,Markit Services PMI,MEDIUM,EUR,
01/06/2021 08:45,Markit Services PMI,MEDIUM,EUR,
01/06/2021 08:55,Markit PMI Composite,MEDIUM,EUR,
01/06/2021 09:00,Markit PMI Composite,MEDIUM,EUR,
01/06/2021 10:30,10-y Bond Auction,MEDIUM,EUR,
01/06/2021 13:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR,
01/06/2021 13:15,ADP Employment Change,HIGH,USD,
01/06/2021 14:45,Markit Services PMI,MEDIUM,USD,
01/06/2021 14:45,Markit PMI Composite,MEDIUM,USD,
01/06/2021 15:00,Factory Orders (MoM),MEDIUM,USD,
01/06/2021 19:00,FOMC Minutes,HIGH,USD,
01/07/2021 00:30,Imports (MoM),MEDIUM,AUD,
01/07/2021 00:30,Exports (MoM),MEDIUM,AUD,
01/07/2021 00:30,Building Permits (MoM),MEDIUM,AUD,
01/07/2021 00:30,Trade Balance (MoM),HIGH,AUD,
01/07/2021 07:00,Factory Orders s.a. (MoM),MEDIUM,EUR,
01/07/2021 07:30,Real Retail Sales (YoY),MEDIUM,CHF,
01/07/2021 09:00,Economic Bulletin,MEDIUM,EUR,
01/07/2021 10:00,Retail Sales (YoY),HIGH,EUR,
01/07/2021 10:00,Consumer Confidence,MEDIUM,EUR,
01/07/2021 10:00,Consumer Price Index - Core (YoY),HIGH,EUR,
